,State,College Name,SAT 25th Percentile,SAT 75th Percentile,ACT 25th Percentile,ACT 75th Percentile,Average GPA,Acceptance Rate
0,Alaska,University of Alaska Anchorage,Not published,Not published,Not published,Not published,Not published,0.81
1,Alaska,University of Alaska Fairbanks,1050,1270,18,25,3.19,0.76
2,Alaska,Alaska Pacific University,Not published,Not published,Not published,Not published,Not published,0.84
3,Alaska,University of Alaska Southeast,Not published,Not published,Not published,Not published,3.02,0.63
4,Alaska,Ilisagvik College,Not published,Not published,Not published,Not published,Not published,1.0
5,Alaska,Prince William Sound Community College,Not published,Not published,Not published,Not published,Not published,1.0
6,Alaska,Alaska Bible College,Not published,Not published,Not published,Not published,Not published,1.0
7,Alaska,Charter College Anchorage,Not published,Not published,Not published,Not published,Not published,1.0
